Village_ID,Reference Number,Audited?,Audit Status,State,District,Block / Taluk,Gram Panchayat,Village Name,Date of Survey,Estimated Trees,Observed Trees,Harvestable %,Avg Age of Trees,Fruiting %,Plantation Type,Latitude,Longitude,GPS Entry Used,Max Capacity (kg),Sourced So Far (kg),Remaining Capacity (kg)
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Ivarlapalli,fmm30uf8,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Ivarlapalli,2024-11-04,350,100,80,Below 8 years,60, Field Bund,13.8576076,77.8472774,Entry 4,1050.0,0.0,1050.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Kadirannagaripalli,fmbf9szg,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Kadirannagaripalli,2024-11-08,100,30,80,Between 8 to 40 years,50, Field Bund,13.779068,77.8219102,Entry 4,300.0,0.0,300.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Karkur,fmt46ru6,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Karkur,2024-10-31,400,100,90,Between 8 to 40 years,50, Field Bund,13.7602318,77.8039699,Entry 4,1200.0,0.0,1200.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Kothur,fmbf10rg,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Kothur,2024-11-12,650,150,90,Below 8 years,60, Field Bund,13.8530352,77.863605,Entry 4,1950.0,0.0,1950.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Makireddypalli,fmpywsmo,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Makireddypalli,2024-11-07,500,150,80,Below 8 years,60, Field Bund,13.7988427,77.8710662,Entry 4,1500.0,0.0,1500.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Malachinnepalli,fmo6gb0t,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Malachinnepalli,2024-11-07,250,50,80,Below 8 years,50, Field Bund,13.8019257,77.8203067,Entry 4,750.0,0.0,750.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Mallasandra,fmbelih5,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Mallasandra,2024-11-08,400,100,90,Between 8 to 40 years,70, Field Bund,13.7795994,77.8288949,Entry 4,1200.0,0.0,1200.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Mamidikayalapalli,fmk00bee,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Mamidikayalapalli,2024-11-04,600,200,80,Below 8 years,60, Field Bund,13.903865,77.8340664,Entry 4,1800.0,0.0,1800.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Mugichinnepalli,fms3knm4,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Mugichinnepalli,2024-10-31,300,70,80,Between 8 to 40 years,50, Field Bund,13.7307303,77.834093,Entry 4,900.0,0.0,900.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Mullangichetlapalli,fmw96rfr,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Mullangichetlapalli,2024-11-13,400,80,90,Below 8 years,50, Field Bund,13.8547874,77.9235815,Entry 4,1200.0,0.0,1200.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Mynaganapalli,fmzjnar6,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Mynaganapalli,2024-11-08,350,100,80,Between 8 to 40 years,50, Field Bund,13.7866993,77.8482656,Entry 4,1050.0,0.0,1050.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Nanjireddypalli,fmsexucc,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Nanjireddypalli,2024-11-05,550,150,80,Between 8 to 40 years,60, Field Bund,13.8533199,77.8368267,Entry 4,1650.0,0.0,1650.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Oogalanagepalli,fmardz3q,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Oogalanagepalli,2024-10-25,250,100,80,Below 8 years,60, Field Bund,13.7715903,77.833113,Entry 4,750.0,0.0,750.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Parashurampalli,fma1hrku,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Parashurampalli,2024-10-25,200,50,80,Below 8 years,40, Field Bund,13.7743147,77.836812,Entry 4,600.0,0.0,600.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Peddathumkepalli,fmban4my,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Peddathumkepalli,2024-10-25,250,80,90,Below 8 years,60, Field Bund,13.7652603,77.8469967,Entry 4,750.0,0.0,750.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Polamarpalli,fm134mu6,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Polamarpalli,2024-10-26,250,70,80,Below 8 years,50, Field Bund,13.8322572,77.8072441,Entry 4,750.0,0.0,750.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Pulagurpalli,fmgggn2x,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Pulagurpalli,2024-11-06,200,50,70,Between 8 to 40 years,40, Field Bund,13.808837,77.7726487,Entry 4,600.0,0.0,600.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Rayadurgampalli,fmom7b2s,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Rayadurgampalli,2024-10-26,400,100,90,Below 8 years,60, Field Bund,13.8265926,77.8196153,Entry 4,1200.0,0.0,1200.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Sadlavaripalli,fmw5sykf,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Sadlavaripalli,2024-11-08,300,100,90,Below 8 years,60, Field Bund,13.7874664,77.8356037,Entry 4,900.0,0.0,900.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Sangatapalli,fmuskrep,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Sangatapalli,2024-11-10,250,50,90,Between 8 to 40 years,60, Field Bund,13.7563614,77.9351341,Entry 4,750.0,0.0,750.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Siddanapalli,fme205en,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Siddanapalli,2024-11-08,300,100,90,Below 8 years,60, Field Bund,13.783998,77.8639918,Entry 4,900.0,0.0,900.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Vaddarahalli,fms0t9he,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Vaddarahalli,2024-11-05,350,100,80,Below 8 years,40, Field Bund,13.9277628,77.8256043,Entry 4,1050.0,0.0,1050.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Varadayyagaripalli,fms1zzgu,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Varadayyagaripalli,2024-10-31,250,80,80,Below 8 years,50, Field Bund,13.717435,77.8196181,Entry 4,750.0,0.0,750.0
Karnataka_Chikkaballapura_Bagepalli_Devaragudipalli_Venkataravanapalli,fmnypvkx,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Devaragudipalli,Venkataravanapalli,2024-10-25,100,40,90,Below 8 years,60, Field Bund,13.7611061,77.8426875,Entry 4,300.0,0.0,300.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Abakavaripalli,fmtew439,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Abakavaripalli,2024-11-06,200,100,80,Between 8 to 40 years,70, Field Bund,13.7986993,77.7438294,Entry 4,600.0,0.0,600.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Adiganapalli,fmdozyvh,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Adiganapalli,2024-11-06,700,250,90,Between 8 to 40 years,70,Avenue,13.7989426,77.7528699,Entry 4,2100.0,0.0,2100.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Digavabandlakere,fm7q1e9a,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Digavabandlakere,2024-10-26,750,200,90,Between 8 to 40 years,70, Field Bund,13.7927297,77.7915736,Entry 4,2250.0,0.0,2250.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Hosahudya,fmbuptid,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Hosahudya,2024-11-06,300,100,90,Between 8 to 40 years,60, Field Bund,13.7955974,77.7723584,Entry 4,900.0,0.0,900.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Krishnapura,fmsfws9d,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Krishnapura,2024-11-05,1400,450,90,Between 8 to 40 years,70, Field Bund,13.9225641,77.8491802,Entry 4,4200.0,0.0,4200.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Narepalli,fmsiu29e,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Narepalli,2024-11-06,350,100,90,Between 8 to 40 years,70, Field Bund,13.789518,77.7688108,Entry 4,1050.0,0.0,1050.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Pathabagepalli,fmf182yv,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Pathabagepalli,2024-11-07,400,150,90,Between 8 to 40 years,70, Field Bund,13.7890464,77.8012365,Entry 4,1200.0,0.0,1200.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Pothepalli,fmeol9ud,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Pothepalli,2024-10-26,300,80,90,Below 8 years,50, Field Bund,13.8189591,77.8066766,Entry 4,900.0,0.0,900.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Puttaparthi,fm7ljsdc,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Puttaparthi,2024-11-06,550,200,80,Between 8 to 40 years,60, Field Bund,13.7798728,77.7641124,Entry 4,1650.0,0.0,1650.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Vadigiravarapalli,fm44yg9k,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Vadigiravarapalli,2024-10-26,500,100,80,Below 8 years,60, Field Bund,13.8039607,77.809327,Entry 4,1500.0,0.0,1500.0
Karnataka_Chikkaballapura_Bagepalli_Ghantumvaripalli_Yegavabandlakere,fm4e869v,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Ghantumvaripalli,Yegavabandlakere,2024-10-26,450,100,90,Below 8 years,50, Field Bund,13.8080383,77.7996235,Entry 4,1350.0,0.0,1350.0
Karnataka_Chikkaballapura_Bagepalli_Gorthapalli_G.Cherlopalli,fmg7epoj,Yes,Audit Approved,Karnataka,Chikkaballapura,Bagepalli,Gorthapalli,G.Cherlopalli,2024-11-13,1100,400,90,Between 8 to 40 years,60, Field Bund,13.8675916,77.9279502,Entry 4,3300.0,0.0,3300.0
Karnataka_Chikkaballapura_Bagepalli_Gulur_Chinakayilapalli,fm45a6vn,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Gulur,Chinakayilapalli,2024-11-12,400,100,90,Between 8 to 40 years,60, Field Bund,13.8473278,77.8513336,Entry 4,1200.0,0.0,1200.0
Karnataka_Chikkaballapura_Bagepalli_Gulur_Gulur,fm4v368n,Yes,Audit Approved,Karnataka,Chikkaballapura,Bagepalli,Gulur,Gulur,2024-11-04,950,300,90,Below 8 years,50, Field Bund,13.832725,77.8209752,Entry 4,2850.0,0.0,2850.0
Karnataka_Chikkaballapura_Bagepalli_Joolapalya_Kanampalli,fmo4g1f6,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Joolapalya,Kanampalli,2024-12-09,1000,300,90,Between 8 to 40 years,50, Field Bund,13.5861511,77.4360016,Entry 1,3000.0,0.0,3000.0
Karnataka_Chikkaballapura_Bagepalli_Joolapalya_Nadimpalli,fmfdadmz,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Joolapalya,Nadimpalli,2024-12-19,2600,700,80,Between 8 to 40 years,70, Field Bund,13.6765299,77.9088663,Entry 4,7800.0,0.0,7800.0
Karnataka_Chikkaballapura_Bagepalli_Joolapalya_Paipalya,fmd7jp5k,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Joolapalya,Paipalya,2024-12-19,4000,1000,90,Between 8 to 40 years,60, Field Bund,13.6962496,77.9410831,Entry 4,12000.0,0.0,12000.0
Karnataka_Chikkaballapura_Bagepalli_Joolapalya_Pichalavaripalli,fm1yt5ub,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Joolapalya,Pichalavaripalli,2024-12-18,400,100,90,Between 8 to 40 years,60, Field Bund,13.8897712,77.86662,Entry 4,1200.0,0.0,1200.0
Karnataka_Chikkaballapura_Bagepalli_Joolapalya_Vadigere,fm6diwz1,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Joolapalya,Vadigere,2024-12-19,1600,500,90,Between 8 to 40 years,70, Field Bund,13.6744044,77.9403215,Entry 4,4800.0,0.0,4800.0
Karnataka_Chikkaballapura_Bagepalli_Julapalya_Bandolapalli,fmpg276w,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Julapalya,Bandolapalli,2024-12-19,1200,400,80,Between 8 to 40 years,60, Field Bund,13.6838733,77.9401966,Entry 4,3600.0,0.0,3600.0
Karnataka_Chikkaballapura_Bagepalli_Kanagamakala_Palli_Booragamadagu,fmdnmndy,Yes,Audit Approved,Karnataka,Chikkaballapura,Bagepalli,Kanagamakala Palli,Booragamadagu,2024-10-29,6500,1000,90,Between 8 to 40 years,60,Block Plantation,13.7362227,77.8760354,Entry 4,19500.0,0.0,19500.0
Karnataka_Chikkaballapura_Bagepalli_Kanagamakala_Palli_Buttivaripalli,fm3rn1rk,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kanagamakala Palli,Buttivaripalli,2024-10-31,350,100,80,Between 8 to 40 years,50, Field Bund,13.7197945,77.8207556,Entry 4,1050.0,0.0,1050.0
Karnataka_Chikkaballapura_Bagepalli_Kanagamakala_Palli_Giriyapalli,fm3hs99h,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kanagamakala Palli,Giriyapalli,2024-10-30,350,100,90,Below 8 years,60, Field Bund,13.6817896,77.8432698,Entry 4,1050.0,0.0,1050.0
Karnataka_Chikkaballapura_Bagepalli_Kanagamakala_Palli_Meruvapalli,fmiy7net,Yes,Audit Approved,Karnataka,Chikkaballapura,Bagepalli,Kanagamakala Palli,Meruvapalli,2024-10-30,700,150,90,Between 8 to 40 years,60, Field Bund,13.7129413,77.8646748,Entry 4,2100.0,0.0,2100.0
Karnataka_Chikkaballapura_Bagepalli_Kanagamakala_Palli_Muthinapalli,fmzl2hod,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kanagamakala Palli,Muthinapalli,2024-10-30,550,150,90,Below 8 years,50, Field Bund,13.7098074,77.8552577,Entry 4,1650.0,0.0,1650.0
Karnataka_Chikkaballapura_Bagepalli_Kanagamakala_Palli_Nallamallepalli,fm5hd339,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kanagamakala Palli,Nallamallepalli,2024-10-30,500,100,80,Below 8 years,50, Field Bund,13.7119959,77.8510298,Entry 4,1500.0,0.0,1500.0
Karnataka_Chikkaballapura_Bagepalli_Kanagamakala_Palli_Papinaikanapalli,fm36yaz8,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kanagamakala Palli,Papinaikanapalli,2024-10-29,850,300,90,Below 8 years,70, Field Bund,13.7201789,77.8744733,Entry 4,2550.0,0.0,2550.0
Karnataka_Chikkaballapura_Bagepalli_Kanagamakala_Palli_Reddyvaripalli,fmdddl8n,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kanagamakala Palli,Reddyvaripalli,2024-10-30,350,90,80,Below 8 years,60, Field Bund,13.6859072,77.8489834,Entry 4,1050.0,0.0,1050.0
Karnataka_Chikkaballapura_Bagepalli_Kothakote_Honnampalli,fmfkeez5,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kothakote,Honnampalli,2024-12-18,1300,400,80,Between 8 to 40 years,40, Field Bund,13.9033918,77.8597903,Entry 4,3900.0,0.0,3900.0
Karnataka_Chikkaballapura_Bagepalli_Kothakote_Kolimpalli,fmerbg07,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kothakote,Kolimpalli,2024-11-05,1700,600,90,Between 8 to 40 years,60, Field Bund,13.9241584,77.8634863,Entry 4,5100.0,0.0,5100.0
Karnataka_Chikkaballapura_Bagepalli_Kothakote_Madakavaripalli,fmiv28ci,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kothakote,Madakavaripalli,2024-12-18,1400,400,90,Between 8 to 40 years,60, Field Bund,13.9132474,77.8630128,Entry 4,4200.0,0.0,4200.0
Karnataka_Chikkaballapura_Bagepalli_Kothakote_Madapalli,fmrhv6ze,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kothakote,Madapalli,2024-12-18,550,150,90,Between 8 to 40 years,50, Field Bund,13.9093344,77.8511779,Entry 4,1650.0,0.0,1650.0
Karnataka_Chikkaballapura_Bagepalli_Kothakote_Mumadivaripalli,fmvkp4k2,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kothakote,Mumadivaripalli,2024-11-04,250,100,80,Between 8 to 40 years,50, Field Bund,13.9135868,77.8255978,Entry 4,750.0,0.0,750.0
Karnataka_Chikkaballapura_Bagepalli_Kothakote_Pesalaparthi,fmrsaf4e,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kothakote,Pesalaparthi,2024-11-05,500,150,90,Below 8 years,70, Field Bund,13.914374,77.8314173,Entry 4,1500.0,0.0,1500.0
Karnataka_Chikkaballapura_Bagepalli_Kothakote_Ramanodupalli,fm6arujv,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Kothakote,Ramanodupalli,2024-11-04,550,150,90,Below 8 years,60, Field Bund,13.8952148,77.8423471,Entry 4,1650.0,0.0,1650.0
Karnataka_Chikkaballapura_Bagepalli_Marganukunte_Chinthamakala_Dinne,fmuo69xw,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Marganukunte,Chinthamakala Dinne,2024-11-04,800,200,90,Between 8 to 40 years,60, Field Bund,13.8753622,77.8418999,Entry 4,2400.0,0.0,2400.0
Karnataka_Chikkaballapura_Bagepalli_Marganukunte_Devikunte,fmw6vrd8,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Marganukunte,Devikunte,2024-12-18,3500,800,90,Between 8 to 40 years,60, Field Bund,13.8908151,77.8728626,Entry 4,10500.0,0.0,10500.0
Karnataka_Chikkaballapura_Bagepalli_Marganukunte_Marganakunte,fm2zxgxv,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Marganukunte,Marganakunte,2024-11-04,700,200,90,Below 8 years,50, Field Bund,13.8838115,77.8433835,Entry 4,2100.0,0.0,2100.0
Karnataka_Chikkaballapura_Bagepalli_Marganukunte_Narasapura,fmo4t16d,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Marganukunte,Narasapura,2024-11-05,250,80,80,Between 8 to 40 years,50, Field Bund,13.8534399,77.8309094,Entry 4,750.0,0.0,750.0
Karnataka_Chikkaballapura_Bagepalli_Marganukunte_Narayanaswamykote,fml8kyn7,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Marganukunte,Narayanaswamykote,2024-11-04,800,250,90,Between 8 to 40 years,70, Field Bund,13.8596689,77.836801,Entry 4,2400.0,0.0,2400.0
Karnataka_Chikkaballapura_Bagepalli_Mittemari_Garudadripura,fmahx21p,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Mittemari,Garudadripura,2024-12-19,300,100,90,Between 8 to 40 years,70, Field Bund,13.6689736,77.9010578,Entry 4,900.0,0.0,900.0
Karnataka_Chikkaballapura_Bagepalli_Mittemari_Mallegurke,fm6lh9j0,Yes,Audit Approved,Karnataka,Chikkaballapura,Bagepalli,Mittemari,Mallegurke,2024-10-30,850,200,80,Between 8 to 40 years,50, Field Bund,13.6982578,77.8714007,Entry 4,2550.0,0.0,2550.0
Karnataka_Chikkaballapura_Bagepalli_Mittemari_Mittemari,fmj45nni,Yes,Audit Approved,Karnataka,Chikkaballapura,Bagepalli,Mittemari,Mittemari,2024-10-30,550,150,80,Between 8 to 40 years,60, Field Bund,13.6805975,77.8645918,Entry 4,1650.0,0.0,1650.0
Karnataka_Chikkaballapura_Bagepalli_Mittemari_Soorapalli,fm2bu14b,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Mittemari,Soorapalli,2024-12-19,250,50,90,Between 8 to 40 years,70, Field Bund,13.6747214,77.9027284,Entry 4,750.0,0.0,750.0
Karnataka_Chikkaballapura_Bagepalli_Nallappareddy_Palli_Chinnepalli,fm0iemm9,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Nallappareddy Palli,Chinnepalli,2024-11-07,300,100,80,Between 8 to 40 years,70, Field Bund,13.8051338,77.8134771,Entry 4,900.0,0.0,900.0
Karnataka_Chikkaballapura_Bagepalli_Nallappareddy_Palli_M.Cherlopalli,fmnegkl8,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Nallappareddy Palli,M.Cherlopalli,2024-11-07,450,100,90,Between 8 to 40 years,60, Field Bund,13.8076517,77.848498,Entry 4,1350.0,0.0,1350.0
Karnataka_Chikkaballapura_Bagepalli_Nallappareddy_Palli_Motakapalli,fm3pd8xl,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Nallappareddy Palli,Motakapalli,2024-11-07,350,100,80,Between 8 to 40 years,60, Field Bund,13.8014787,77.8375673,Entry 4,1050.0,0.0,1050.0
Karnataka_Chikkaballapura_Bagepalli_Nallappareddy_Palli_Nallappareddipalli,fm3c927i,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Nallappareddy Palli,Nallappareddipalli,2024-10-26,350,100,90,Between 8 to 40 years,80, Field Bund,13.8237066,77.8074531,Entry 4,1050.0,0.0,1050.0
Karnataka_Chikkaballapura_Bagepalli_Paragodu_Kondareddipalli,fm95g9aj,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Paragodu,Kondareddipalli,2024-11-06,400,100,80,Between 8 to 40 years,60, Field Bund,13.7803876,77.7702008,Entry 4,1200.0,0.0,1200.0
Karnataka_Chikkaballapura_Bagepalli_Paragodu_Kothakote,fm10z034,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Paragodu,Kothakote,2024-11-05,800,250,90,Below 8 years,60, Field Bund,13.9203526,77.8369228,Entry 4,2400.0,0.0,2400.0
Karnataka_Chikkaballapura_Bagepalli_Pathapalya_Devarajapalli,fml383fh,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Pathapalya,Devarajapalli,2024-11-10,400,100,80,Below 8 years,50, Field Bund,13.7680012,77.9330173,Entry 4,1200.0,0.0,1200.0
Karnataka_Chikkaballapura_Bagepalli_Pathapalya_Pathakote,fmb1lp3o,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Pathapalya,Pathakote,2024-11-10,150,50,80,Between 8 to 40 years,50, Field Bund,13.752641,77.9379904,Entry 4,450.0,0.0,450.0
Karnataka_Chikkaballapura_Bagepalli_Pathapalya_Pathapalya,fmni1nz0,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Pathapalya,Pathapalya,2024-11-10,350,100,90,Between 8 to 40 years,60, Field Bund,13.7557172,77.9429741,Entry 4,1050.0,0.0,1050.0
Karnataka_Chikkaballapura_Bagepalli_Racheravu_Kammaravaripalli,fmnzc6on,No,Approved,Karnataka,Chikkaballapura,Bagepalli,Racheravu,Kammaravaripalli,2024-11-13,350,50,80,Below 8 years,50, Field Bund,13.8656429,77.9233393,Entry 4,1050.0,0.0,1050.0
